Site,Unit_ID,Pasture_Type,Treatment,Burn_Year,Year,Month,Time,Date,Bird_Spp,Common_Name,Num_Birds,Distance,Temp,Times_Surveyed,Comments
ABS-UF,Winter_6_Block_Sector_1,SN,BAU,2017,2021,7,11:02:54 AM,7/2/2021,RWBL,Red-winged Blackbird,1,63,74,4,
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,2017,2021,4,11:48:02 AM,4/13/2021,RWBL,Red-winged Blackbird,1,58,55,4,
ABS-UF,Summer_6_Block_Sector_1,IMP,ASP,2018,2021,4,11:54:20 AM,4/9/2021,RWBL,Red-winged Blackbird,1,55,58,4,
ABS-UF,West_Marsh_Block_2_Sector_2,SN,BAU,2017,2021,6,11:03:30 AM,6/8/2021,RWBL,Red-winged Blackbird,2,38,70,4,
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,2017,2021,7,12:00:26 PM,7/1/2021,RWBL,Red-winged Blackbird,1,55,75,4,
ABS-UF,West_Marsh_Block_2_Sector_2,SN,BAU,2017,2021,6,11:06:07 AM,6/8/2021,RWBL,Red-winged Blackbird,1,73,70,4,
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,2017,2021,5,11:08:54 AM,5/3/2021,RWBL,Red-winged Blackbird,1,39,71,4,limpkin outside 100
ABS-UF,Winter_6_Block_Sector_1,SN,BAU,2017,2021,5,12:02:47 PM,5/7/2021,RWBL,Red-winged Blackbird,1,19,72,4,
ABS-UF,Winter_6_Block_Sector_1,SN,BAU,2017,2021,7,11:02:09 AM,7/2/2021,RWBL,Red-winged Blackbird,1,46,74,4,
ABS-UF,Winter_6_Block_Sector_3,SN,BAU,2017,2021,6,10:23:00 AM,6/2/2021,RWBL,Red-winged Blackbird,1,54,67,4,
ABS-UF,Summer_6_Block_Sector_2,IMP,ASP,2019,2021,6,10:45:23 AM,6/3/2021,MODO,Mourning Dove,1,89,67,4,
ABS-UF,West_Marsh_Block_1_Sector_3,SN,ASP,2018,2021,5,11:37:01 AM,5/10/2021,MODO,Mourning Dove,2,65,67,4,
ABS-UF,West_Marsh_Block_1_Sector_3,SN,ASP,2018,2021,6,11:38:45 AM,6/8/2021,MODO,Mourning Dove,1,68,72,4,
ABS-UF,West_Marsh_Block_2_Sector_1,SN,BAU,2017,2021,6,10:53:51 AM,6/8/2021,MODO,Mourning Dove,2,68,70,4,
ABS-UF,Winter_6_Block_Sector_2,SN,BAU,2017,2021,5,11:47:11 AM,5/7/2021,MODO,Mourning Dove,1,80,71,4,
ABS-UF,West_Marsh_Block_4_Sector_2,SN,BAU,2017,2021,4,11:37:27 AM,4/6/2021,MODO,Mourning Dove,1,57,51,4,
ABS-UF,East_Marsh_Block_1_Sector_1,SN,ASP,2019,2021,7,12:07:37 PM,7/8/2021,MODO,Mourning Dove,2,91,75,4,
ABS-UF,East_Marsh_Block_1_Sector_3,SN,ASP,2017,2021,6,12:29:35 PM,6/3/2021,MODO,Mourning Dove,1,68,75,4,
ABS-UF,Winter_3_Block_Sector_3,SN,ASP,2018,2021,7,12:03:50 PM,7/2/2021,COYE,Common Yellowthroat,1,23,75,4,blue grosbeak heard outside 100m
ABS-UF,Winter_3_Block_Sector_3,SN,ASP,2018,2021,6,12:12:42 PM,6/2/2021,COYE,Common Yellowthroat,1,55,71,4,
ABS-UF,West_Marsh_Block_2_Sector_2,SN,BAU,2017,2021,7,12:00:10 PM,7/12/2021,COYE,Common Yellowthroat,1,68,72,4,limpkin outside 100m
ABS-UF,West_Marsh_Block_2_Sector_1,SN,BAU,2017,2021,6,10:49:51 AM,6/8/2021,COYE,Common Yellowthroat,1,71,70,4,
ABS-UF,East_Marsh_Block_2_Sector_2,SN,BAU,2017,2021,4,11:00:00 AM,4/9/2021,COYE,Common Yellowthroat,1,65,56,4,
ABS-UF,East_Marsh_Block_2_Sector_2,SN,BAU,2017,2021,4,10:56:35 AM,4/9/2021,COYE,Common Yellowthroat,1,45,56,4,
ABS-UF,Tropical_West_Block_1_Sector_1,IMP,BAU,2017,2021,4,11:46:20 AM,4/13/2021,COYE,Common Yellowthroat,1,50,55,4,
ABS-UF,West_Marsh_Block_3_Sector_3,SN,ASP,2017,2021,5,11:44:44 AM,5/5/2021,AMCR,American Crow,3,40,71,4,
ABS-UF,Tropical_East_Block_1_Sector_3,IMP,BAU,2017,2021,4,12:38:58 PM,4/13/2021,AMCR,American Crow,1,97,62,4,
ABS-UF,East_Marsh_Block_1_Sector_3,SN,ASP,2017,2021,4,11:12:18 AM,4/7/2021,AMCR,American Crow,2,92,51,4,
ABS-UF,West_Marsh_Block_4_Sector_2,SN,BAU,2017,2021,5,11:02:04 AM,5/5/2021,AMCR,American Crow,1,78,69,4,
ABS-UF,West_Marsh_Block_4_Sector_3,SN,BAU,2017,2021,4,11:54:23 AM,4/6/2021,AMCR,American Crow,2,30,51,4,
ABS-UF,West_Marsh_Block_2_Sector_3,SN,BAU,2017,2021,7,12:11:01 PM,7/12/2021,AMCR,American Crow,3,74,75,4,limpkin outside 100m
ABS-UF,West_Marsh_Block_2_Sector_3,SN,BAU,2017,2021,4,12:57:35 PM,4/8/2021,AMCR,American Crow,1,82,64,4,
