YearSampled,Pasture,Plot,Transect,Distance,Forage,C4PG,ANHP,AG,BOBU,C3PG,FORB,SD,WSPG,SS,OTHER,NA,Block,Treatment,Ecosite,PastureSize_ha,X,Y
2013,20NW,5,4,10,941.3,625.38,941.3,0,375.66,315.92,0,202.36,249.72,0,0,0,10,AGM,Salt Flats,128.56,526671,4519170
2013,20NW,5,4,20,1582.29,1570.45,1582.29,0,289.01,0,11.84,431.09,1281.44,0,0,0,10,AGM,Salt Flats,128.56,526671,4519170
2013,20NW,6,1,10,860.03,701.8,860.03,0,148,142.62,15.61,264.25,553.8,0,0,0,10,AGM,Salt Flats,128.56,526563,4519400
2013,20NW,6,1,20,1722.77,1476.27,1722.77,0,52.74,221.74,24.76,824.52,1423.53,0,0,0,10,AGM,Salt Flats,128.56,526563,4519400
2013,20NW,6,4,10,954.22,916.01,954.22,0,234.65,38.21,0,157.15,681.36,0,0,0,10,AGM,Salt Flats,128.56,526563,4519400
2013,20NW,6,4,20,1419.22,978.98,1419.22,0,942.92,440.24,0,280.94,36.06,0,0,0,10,AGM,Salt Flats,128.56,526563,4519400
2013,20SE,1,1,20,928.92,496.75,928.92,0,0,432.17,0,150.16,496.75,0,0,0,10,TGM,Sandy,129.46,526233,4518150
2013,20SE,1,4,10,1033.87,0,1033.87,0,0,1033.87,0,934.31,0,0,0,0,10,TGM,Sandy,129.46,526233,4518150
2013,20SE,1,4,20,1581.76,46.82,1581.76,0,0,1530.63,4.31,630.23,46.82,0,0,0,10,TGM,Sandy,129.46,526233,4518150
2013,20SE,2,1,10,1594.68,534.97,1594.68,0,0,968.75,90.96,586.1,534.97,0,0,0,10,TGM,Sandy,129.46,526512,4518240
2013,20SE,2,1,20,1496.72,301.39,1496.72,0,0,1090.38,104.95,19.91,301.39,0,0,0,10,TGM,Sandy,129.46,526512,4518240
2013,20SE,2,4,10,1677.56,149.08,1677.56,0,0,1528.48,0,1445.59,149.08,0,0,0,10,TGM,Sandy,129.46,526512,4518240
2013,20SE,2,4,20,1113.52,315.38,1113.52,0,0,790.07,8.07,32.83,315.38,0,0,0,10,TGM,Sandy,129.46,526512,4518240
2013,20SE,3,1,10,1195.33,207.74,1195.33,0,207.74,987.59,0,888.56,0,0,0,0,10,TGM,Sandy,129.46,526307,4518420
2013,20SE,3,1,20,505.91,205.59,505.91,0,205.59,269.1,31.22,15.07,0,0,0,0,10,TGM,Sandy,129.46,526307,4518420
2013,20SE,3,4,10,652.28,93.1,652.28,0,43.59,551.65,7.53,145.31,49.51,0,0,0,10,TGM,Sandy,129.46,526307,4518420
2013,20SE,3,4,20,808.91,692.12,808.91,0,692.12,0,116.79,60.28,0,0,0,0,10,TGM,Sandy,129.46,526307,4518420
2013,20SE,4,1,10,1028.49,1020.42,1028.49,0,240.04,8.07,0,1272.83,780.38,0,0,0,10,TGM,Salt Flats,129.46,526928,4518640
2013,20SE,4,1,20,1357.87,1262.61,1357.87,0,571.03,95.26,0,684.59,691.58,0,0,0,10,TGM,Salt Flats,129.46,526928,4518640
2013,20SE,4,4,10,1191.56,362.2,1191.56,0,308.92,809.45,19.91,249.18,53.28,0,0,0,10,TGM,Salt Flats,129.46,526928,4518640
2013,20SE,4,4,20,848.74,593.63,848.74,0,446.16,250.8,4.31,186.75,147.47,0,0,0,10,TGM,Salt Flats,129.46,526928,4518640
2013,20SE,5,1,10,377.82,237.35,441.87,64.05,30.68,119.48,20.99,130.24,206.67,0,0,0,10,TGM,Salt Flats,129.46,526878,4518880
2013,20SE,5,1,20,833.66,94.72,862.18,28.52,67.27,670.59,68.35,27.45,27.45,0,0,0,10,TGM,Salt Flats,129.46,526878,4518880
2013,20SE,5,4,10,1471.43,1363.25,1471.43,0,0,108.18,0,748.09,1363.25,0,0,0,10,TGM,Salt Flats,129.46,526878,4518880
2013,20SE,5,4,20,1543.55,1540.86,1567.23,23.68,301.93,0,2.69,655.52,1238.93,0,0,0,10,TGM,Salt Flats,129.46,526878,4518880
2013,20SE,6,1,10,222.81,136.7,222.81,0,136.7,33.37,52.74,72.66,0,0,0,0,10,TGM,Sandy,129.46,527078,4519150
2013,20SE,6,1,20,1615.67,987.59,1615.67,0,987.59,519.9,108.18,89.88,0,0,0,0,10,TGM,Sandy,129.46,527078,4519150
2013,20SE,6,4,10,555.96,555.96,603.86,47.9,555.96,0,0,62.43,0,0,0,0,10,TGM,Sandy,129.46,527078,4519150
2013,20SE,6,4,20,756.7,659.83,763.16,6.46,600.09,29.6,67.27,123.79,59.74,0,0,0,10,TGM,Sandy,129.46,527078,4519150
2013,21N,1,1,10,497.83,353.06,497.83,0,334.76,133.47,11.3,62.43,18.3,0,0,0,2,AGM,Loamy,125.71,519005,4518910
2013,21N,1,1,20,296.55,296.55,296.55,0,277.17,0,0,20.45,19.38,0,0,0,2,AGM,Loamy,125.71,519005,4518910
2013,21N,1,4,10,428.4,315.92,428.4,0,315.92,44.67,67.81,17.22,0,224.97,0,0,2,AGM,Loamy,125.71,519005,4518910
2013,21N,1,4,20,448.85,414.94,448.85,0,297.08,9.69,24.22,4.84,117.86,0,0,0,2,AGM,Loamy,125.71,519005,4518910
2013,21N,2,1,10,459.08,446.7,459.08,0,446.7,4.31,8.07,43.59,0,0,0,0,2,AGM,Loamy,125.71,519008,4519400
2013,21N,2,1,20,686.74,585.02,686.74,0,585.02,97.95,3.77,50.59,0,0,0,0,2,AGM,Loamy,125.71,519008,4519400
2013,21N,2,4,20,1050.56,1018.8,1101.15,50.59,1018.8,3.77,27.99,29.06,0,0,0,0,2,AGM,Loamy,125.71,519008,4519400
2013,21N,3,1,10,610.85,400.96,610.85,0,376.74,178.14,31.75,45.75,24.22,0,0,0,2,AGM,Loamy,125.71,517934,4518920
2013,21N,3,1,20,285.78,285.78,285.78,0,285.78,0,0,21.53,0,0,0,0,2,AGM,Loamy,125.71,517934,4518920
2013,21N,3,4,10,641.53,472.54,646.91,5.38,472.54,3.23,165.76,0,0,768.54,0,0,2,AGM,Loamy,125.71,517934,4518920
2013,21N,3,4,20,972.52,306.77,972.52,0,288.47,96.88,568.87,9.15,18.3,903.09,0,0,2,AGM,Loamy,125.71,517934,4518920
2013,21N,4,1,10,808.91,406.34,808.91,0,155.54,104.95,297.62,18.3,250.8,0,0,0,2,AGM,Loamy,125.71,517801,4519150
2013,21N,4,1,20,754.55,192.14,754.55,0,192.14,559.72,2.69,6.46,0,0,0,0,2,AGM,Loamy,125.71,517801,4519150
2013,21N,4,4,10,962.29,823.98,963.9,1.61,823.98,109.25,29.06,12.92,0,72.66,0,0,2,AGM,Loamy,125.71,517801,4519150
2013,21N,4,4,20,228.73,223.35,228.73,0,223.35,2.15,3.23,2.15,0,0,0,0,2,AGM,Loamy,125.71,517801,4519150
2013,24W,1,1,10,258.34,157.16,409.57,151.23,105.49,2.15,99.03,98.49,51.67,0,0,0,2,TGM,Loamy,125.34,522810,4518150
2013,24W,1,1,20,339.61,299.78,418.19,78.58,299.78,0,39.83,37.14,0,0,0,0,2,TGM,Loamy,125.34,522810,4518150
2013,24W,1,4,10,391.81,320.23,391.81,0,320.23,52.2,19.38,38.21,0,0,0,0,2,TGM,Loamy,125.34,522810,4518150
2013,24W,1,4,20,666.82,631.3,671.66,4.84,631.3,0,35.52,57.59,0,0,0,0,2,TGM,Loamy,125.34,522810,4518150
2013,24W,2,1,10,471.45,458,608.15,136.7,458,0,13.45,13.45,0,0,0,0,2,TGM,Loamy,125.34,522601,4518310
2013,24W,2,1,20,195.36,189.44,256.71,61.35,189.44,0,5.92,148.54,0,0,0,0,2,TGM,Loamy,125.34,522601,4518310
2013,24W,2,4,10,303.54,258.87,307.85,4.31,258.87,35.52,9.15,167.38,0,0,0,0,2,TGM,Loamy,125.34,522601,4518310
2013,24W,2,4,20,510.76,317.54,510.76,0,260.49,186.22,7,468.77,57.05,64.05,0,0,2,TGM,Loamy,125.34,522601,4518310
2013,24W,3,1,10,285.25,233.58,290.63,5.38,233.58,51.67,0,68.89,0,0,0,0,2,TGM,Loamy,125.34,522806,4518740
2013,24W,3,1,20,640.45,365.43,769.08,128.63,365.43,6.46,268.56,57.59,0,0,0,0,2,TGM,Loamy,125.34,522806,4518740
2013,24W,3,4,10,890.18,881.03,890.18,0,868.65,0,9.15,156.08,12.38,0,0,0,2,TGM,Loamy,125.34,522806,4518740
2013,24W,4,1,10,371.89,337.98,371.89,0,320.76,0,33.91,59.2,17.22,0,0,0,2,TGM,Loamy,125.34,522600,4518900
2013,24W,4,1,20,702.35,594.17,702.35,0,594.17,48.44,59.74,83.96,0,0,0,0,2,TGM,Loamy,125.34,522600,4518900
2013,24W,4,4,10,472.53,277.17,531.73,59.2,277.17,40.36,155,6.46,0,0,0,0,2,TGM,Loamy,125.34,522600,4518900
2013,24W,4,4,20,569.95,555.42,583.94,13.99,555.42,0,14.53,60.28,0,0,0,0,2,TGM,Loamy,125.34,522600,4518900
2013,25NW,1,1,10,438.09,380.5,442.93,4.84,380.5,53.28,4.31,44.67,0,0,0,0,4,AGM,Loamy,130.28,523597,4517750
2013,25NW,1,1,20,499.45,442.4,521.52,22.07,397.19,41.98,15.07,59.2,45.21,0,0,0,4,AGM,Loamy,130.28,523597,4517750
2013,25NW,1,4,10,312.16,180.3,346.07,33.91,180.3,81.27,50.59,40.9,0,0,0,0,4,AGM,Loamy,130.28,523597,4517750
2013,25NW,1,4,20,618.38,333.14,629.14,10.76,333.14,285.24,0,6.46,0,0,0,0,4,AGM,Loamy,130.28,523597,4517750
2013,25NW,2,1,10,455.31,321.84,470.38,15.07,298.7,130.24,3.23,24.76,23.14,0,0,0,4,AGM,Loamy,130.28,523416,4517560
2013,25NW,2,1,20,647.46,362.21,651.23,3.77,347.14,137.78,147.47,7,15.07,0,0,0,4,AGM,Loamy,130.28,523416,4517560
2013,25NW,2,4,10,1734.6,297.08,1856.77,122.17,282.01,76.96,1360.56,8.07,15.07,0,0,0,4,AGM,Loamy,130.28,523416,4517560
2013,25NW,2,4,20,1023.64,441.32,1220.62,196.98,382.12,130.24,452.08,10.76,59.2,0,0,0,4,AGM,Loamy,130.28,523416,4517560
2013,25NW,3,1,10,606.01,438.09,615.16,9.15,417.64,162.54,5.38,47.9,20.45,0,0,0,4,AGM,Loamy,130.28,523224,4517390
2013,25NW,3,1,20,312.69,86.11,354.13,41.44,72.66,207.74,18.84,16.15,13.45,0,0,0,4,AGM,Loamy,130.28,523224,4517390
2013,25NW,3,4,10,638.3,405.8,638.3,0,363.82,192.67,39.83,41.44,41.98,0,0,0,4,AGM,Loamy,130.28,523224,4517390
2013,25NW,3,4,20,580.17,533.35,580.17,0,118.4,34.98,11.84,139.39,414.95,0,0,0,4,AGM,Loamy,130.28,523224,4517390
